"trial" "distancia" "respuesta" "nsub" "condicion" "SesgoAbs" "SesgoRel"
18 5 2 21 "INTERNET" -3 -0.6
19 5 2 21 "INTERNET" -3 -0.6
20 1 0.5 21 "INTERNET" -0.5 -0.5
21 4 2 21 "INTERNET" -2 -0.5
22 6 2.5 21 "INTERNET" -3.5 -0.583333333333333
23 3 2 21 "INTERNET" -1 -0.333333333333333
24 2 1 21 "INTERNET" -1 -0.5
25 6 2 21 "INTERNET" -4 -0.666666666666667
26 1 0.5 21 "INTERNET" -0.5 -0.5
27 5 1.5 21 "INTERNET" -3.5 -0.7
28 4 1.5 21 "INTERNET" -2.5 -0.625
29 3 2 21 "INTERNET" -1 -0.333333333333333
30 2 1.5 21 "INTERNET" -0.5 -0.25
1 4 8 22 "INTERNET" 4 1
2 5 8 22 "INTERNET" 3 0.6
3 6 9 22 "INTERNET" 3 0.5
4 1 3 22 "INTERNET" 2 2
5 3 5 22 "INTERNET" 2 0.666666666666667
6 2 6 22 "INTERNET" 4 2
7 1 2 22 "INTERNET" 1 1
8 3 7 22 "INTERNET" 4 1.33333333333333
9 5 9 22 "INTERNET" 4 0.8
10 4 6 22 "INTERNET" 2 0.5
11 6 5 22 "INTERNET" -1 -0.166666666666667
12 2 3 22 "INTERNET" 1 0.5
13 5 6 22 "INTERNET" 1 0.2
14 6 7 22 "INTERNET" 1 0.166666666666667
15 3 8 22 "INTERNET" 5 1.66666666666667
16 4 9 22 "INTERNET" 5 1.25
17 1 2 22 "INTERNET" 1 1
18 2 7 22 "INTERNET" 5 2.5
19 2 6 22 "INTERNET" 4 2
20 5 7 22 "INTERNET" 2 0.4
21 4 6 22 "INTERNET" 2 0.5
22 1 2 22 "INTERNET" 1 1
23 3 7 22 "INTERNET" 4 1.33333333333333
24 6 8 22 "INTERNET" 2 0.333333333333333
25 3 7 22 "INTERNET" 4 1.33333333333333
26 2 5 22 "INTERNET" 3 1.5
27 5 6 22 "INTERNET" 1 0.2
28 4 6 22 "INTERNET" 2 0.5
29 6 5 22 "INTERNET" -1 -0.166666666666667
30 1 2 22 "INTERNET" 1 1
1 1 4 23 "INTERNET" 3 3
2 2 4 23 "INTERNET" 2 1
3 5 5 23 "INTERNET" 0 0
4 6 6 23 "INTERNET" 0 0
5 3 7 23 "INTERNET" 4 1.33333333333333
6 4 8 23 "INTERNET" 4 1
7 2 7 23 "INTERNET" 5 2.5
8 6 8 23 "INTERNET" 2 0.333333333333333
9 5 8 23 "INTERNET" 3 0.6
10 3 8 23 "INTERNET" 5 1.66666666666667
11 4 8 23 "INTERNET" 4 1
12 1 6 23 "INTERNET" 5 5
13 1 6 23 "INTERNET" 5 5
14 4 7 23 "INTERNET" 3 0.75
15 3 8 23 "INTERNET" 5 1.66666666666667
16 6 9 23 "INTERNET" 3 0.5
17 5 9 23 "INTERNET" 4 0.8
18 2 8 23 "INTERNET" 6 3
19 3 9 23 "INTERNET" 6 2
20 1 7 23 "INTERNET" 6 6
21 2 8 23 "INTERNET" 6 3
22 6 9 23 "INTERNET" 3 0.5
23 5 9 23 "INTERNET" 4 0.8
24 4 9 23 "INTERNET" 5 1.25
25 1 8 23 "INTERNET" 7 7
26 5 9 23 "INTERNET" 4 0.8
27 6 9 23 "INTERNET" 3 0.5
28 4 9 23 "INTERNET" 5 1.25
29 2 8 23 "INTERNET" 6 3
30 3 8 23 "INTERNET" 5 1.66666666666667
1 4 3.5 24 "INTERNET" -0.5 -0.125
2 2 2.5 24 "INTERNET" 0.5 0.25
3 3 2.5 24 "INTERNET" -0.5 -0.166666666666667
4 1 2 24 "INTERNET" 1 1
5 5 3 24 "INTERNET" -2 -0.4
6 6 4 24 "INTERNET" -2 -0.333333333333333
7 6 4.5 24 "INTERNET" -1.5 -0.25
8 2 2 24 "INTERNET" 0 0
9 3 2.5 24 "INTERNET" -0.5 -0.166666666666667
10 1 1 24 "INTERNET" 0 0
11 5 3.5 24 "INTERNET" -1.5 -0.3
12 4 4 24 "INTERNET" 0 0
13 2 2 24 "INTERNET" 0 0
14 6 2 24 "INTERNET" -4 -0.666666666666667
15 1 0.5 24 "INTERNET" -0.5 -0.5
16 5 4 24 "INTERNET" -1 -0.2
17 4 4.5 24 "INTERNET" 0.5 0.125
18 3 3.5 24 "INTERNET" 0.5 0.166666666666667
19 2 2 24 "INTERNET" 0 0
20 3 2.5 24 "INTERNET" -0.5 -0.166666666666667
21 1 1 24 "INTERNET" 0 0
22 6 5 24 "INTERNET" -1 -0.166666666666667
23 5 4.5 24 "INTERNET" -0.5 -0.1
24 4 4 24 "INTERNET" 0 0
25 4 5 24 "INTERNET" 1 0.25
26 6 4 24 "INTERNET" -2 -0.333333333333333
27 1 0.5 24 "INTERNET" -0.5 -0.5
28 5 3 24 "INTERNET" -2 -0.4
29 2 2 24 "INTERNET" 0 0
30 3 3 24 "INTERNET" 0 0
1 4 1.5 25 "INTERNET" -2.5 -0.625
2 5 1 25 "INTERNET" -4 -0.8
